S.No,Company,Job title,Job link,YoE,Match percentage,Matched Keywords count,Matched keywords,Matched locations
19,Bold,"Senior Software Engineer- UI Noida, Uttar Pradesh, India Engineering & Development",https://www.bold.com/job-description/senior-software-engineer-ui-2/,5,38.08,3,"javascript, go, react",india
20,Bold,"Senior Software Engineer- React Native Noida, Uttar Pradesh, India Engineering & Development",https://www.bold.com/job-description/senior-software-engineer-react-native-2/,5,35.38,2,"javascript, react",india
21,Bold,"Software Engineer/Senior Software Engineer (.Net+ React) Noida, Uttar Pradesh, India Engineering & Development",https://www.bold.com/job-description/software-engineer-senior-software-engineer-net-react/,5,35.38,2,"javascript, react",india
22,Buffer,Senior Backend Engineer (Platform and API) Apply,https://buffer.com/journey/6febfd99-d236-48cf-8595-f7d4d0801ec9,8,56.92,10,"typescript, go, python, node.js, react, graphql, aws, mongodb, oops, jest",remote
23,Canonical,Senior Software Engineer - MAAS,https://canonical.com/careers/3003389,10,56.92,10,"typescript, go, python, react, aws, kafka, sql, postgresql, nosql, mongodb","remote, india"
24,Canonical,Linux Software Engineer - Ubuntu for Next-Gen Silicon (multiple roles and seniority levels),https://canonical.com/careers/7432750,10,54.23,9,"go, python, aws, kafka, sql, postgresql, nosql, mongodb, docker","remote, india"
25,Canonical,Embedded Linux Senior Software Engineer - Optimisation,https://canonical.com/careers/6189337,10,51.54,8,"go, aws, kafka, sql, postgresql, nosql, mongodb, docker","remote, india"
26,Canonical,Senior Juju Software Engineer (Go),https://canonical.com/careers/5566674,10,51.54,8,"go, aws, kafka, sql, postgresql, nosql, mongodb, docker","remote, india"
27,Canonical,Senior Software Engineer (Backend),https://canonical.com/careers/3142044,10,51.54,8,"go, python, aws, kafka, sql, postgresql, nosql, mongodb","remote, india"
28,Canonical,Senior Software Engineer - Python/MongoDB,https://canonical.com/careers/5937947,10,51.54,8,"go, python, aws, kafka, sql, postgresql, nosql, mongodb","remote, india"
29,Cisco,"Senior Software Engineer – C, Linux, Device Drivers, Networking",https://careers.cisco.com/global/en/job/1451128/Senior-Software-Engineer-C-Linux-Device-Drivers-Networking,5,35.38,2,"go, python","bangalore, remote, india"
30,CloudTalk,Senior Software Engineer (Go),https://apply.workable.com/j/0AE814D0A7,5,54.23,9,"go, golang, aws, kafka, sql, mongodb, docker, redis, grpc",remote
31,CloudTalk,Senior Software Engineer (Node.js and Angular),https://apply.workable.com/j/4219848AC5,,24.23,9,"javascript, typescript, go, node.js, aws, kafka, mongodb, docker, jest",remote
32,CloudTalk,"Senior Software Engineer (PHP, Node.js, TypeScript)",https://apply.workable.com/j/5D9BCDFA44,,16.15,6,"typescript, go, golang, node.js, sql, docker",remote
33,Confluent,Senior Software Engineer II,https://careers.confluent.io/jobs/job/d2f88412-ccb6-48e4-8b96-783d5f7a1790,8,46.15,6,"go, python, react, kafka, sql, postgresql","remote, india"
34,Confluent,Senior Software Engineer NEW,https://careers.confluent.io/jobs/job/c3946962-7645-46b4-8f2d-4f5c9f0277c4,3,43.46,5,"go, python, react, kafka, sql","remote, india"
35,Confluent,Senior Software Engineer II,https://careers.confluent.io/jobs/job/37a57183-4d95-47f6-83db-e224b5013412,8,43.46,5,"go, react, aws, kafka, sql","remote, india"
36,Constructor,Senior FullStack Engineer: Offsite Discovery,https://apply.workable.com/j/FD7F051B3C,,21.54,8,"javascript, typescript, go, python, react, aws, sql, postgresql",remote
37,Constructor,"Senior Backend Engineer, Recommendations (Remote)",https://apply.workable.com/j/B94C7D6897,,13.46,5,"go, python, aws, sql, nosql",remote
38,Databricks,"Senior Software Engineer (Backend) Bengaluru, India",https://www.databricks.com/company/careers/engineering---pipeline/senior-software-engineer-backend-6709301002,6,40.77,4,"go, python, aws, sql","bangalore, remote, india"
39,Databricks,"Senior Software Engineer (L5) - Partner Ecosystem Bengaluru, India",https://www.databricks.com/company/careers/engineering/senior-software-engineer-l5---partner-ecosystem-7938410002,7,40.77,4,"go, python, aws, sql","bangalore, india"
40,Databricks,"Senior Software Engineer - Backend Bengaluru, India",https://www.databricks.com/company/careers/engineering---pipeline/senior-software-engineer---backend-8320183002,6,40.77,4,"go, python, aws, sql","bangalore, remote, india"
41,Databricks,"Senior Software Engineer - Data Platform Bengaluru, India",https://www.databricks.com/company/careers/engineering---pipeline/senior-software-engineer---data-platform-7647369002,6,40.77,4,"go, aws, kafka, sql","bangalore, india"
42,Databricks,"Senior Software Engineer - Infrastructure Bengaluru, India",https://www.databricks.com/company/careers/engineering---pipeline/senior-software-engineer---infrastructure-7647289002,7,40.77,4,"go, python, aws, sql","bangalore, india"
43,Databricks,"Senior Software Engineer - Ingestion Bengaluru, India",https://www.databricks.com/company/careers/engineering---pipeline/senior-software-engineer---ingestion-7934782002,6,40.77,4,"go, python, aws, sql","bangalore, india"
44,Databricks,"Senior Software Engineer - Money, Infrastructure Bengaluru, India",https://www.databricks.com/company/careers/engineering---pipeline/senior-software-engineer---money-infrastructure-7654347002,7,40.77,4,"go, aws, sql, docker","bangalore, india"
45,Databricks,"Senior Software Engineer - Networking Infra Bengaluru, India",https://www.databricks.com/company/careers/engineering---pipeline/senior-software-engineer---networking-infra-7619810002,6,40.77,4,"go, python, aws, sql","bangalore, india"
46,Databricks,"Senior Software Engineer - Observability Bengaluru, India",https://www.databricks.com/company/careers/engineering---pipeline/senior-software-engineer---observability-7619811002,7,40.77,4,"go, python, aws, sql","bangalore, india"
47,Databricks,"Senior Software Engineer- Networking Bengaluru, India",https://www.databricks.com/company/careers/engineering---pipeline/senior-software-engineer--networking-7647353002,8,40.77,4,"go, python, aws, sql","bangalore, india"
48,Databricks,"Senior Software Engineer (App-Framework) Bengaluru, India",https://www.databricks.com/company/careers/engineering---pipeline/senior-software-engineer-app-framework-8210383002,7,38.08,3,"go, aws, sql","bangalore, india"
49,Databricks,"Senior Software Engineer (App-Framework) Bengaluru, India",https://www.databricks.com/company/careers/engineering---pipeline/senior-software-engineer-app-framework-8294304002,7,38.08,3,"go, aws, sql","bangalore, india"
50,Databricks,"Senior Software Engineer - Search Bengaluru, India",https://www.databricks.com/company/careers/engineering---pipeline/senior-software-engineer---search-7841782002,5,38.08,3,"go, aws, sql","bangalore, india"
51,Datadog,Senior Software Engineer – IDE Integrations (VS Code & Cursor) Engineering Locations,https://careers.datadoghq.com/detail/7391302/?gh_jid=7391302,7,38.08,3,"typescript, go, python",remote
52,DocuSign,Senior Software Engineer,https://careers.docusign.com/jobs/28060?lang=en-us&previousLocale=en-US,8,48.85,7,"javascript, typescript, go, node.js, react, graphql, object-oriented programming","bangalore, remote, india"
53,Dropbox,"Remote - US: Select locations Senior Fullstack Product Software Engineer, DocSend",https://jobs.dropbox.com/listing/7469396,9,56.92,10,"javascript, typescript, go, python, node.js, react, graphql, sql, postgresql, mongodb","remote, india"
